Town,Bdrs,median_ownership_per_bed,own_listings,ZIP_CODE
"New Bedford, MA",5,644.35,4,02745
"New Bedford, MA",6,588.75,3,02746
"New Braintree, MA",3,1221.11,4,01531
"New Salem, MA",3,957.26,8,01355
"Newbury, MA",3,1504.47,10,01951
"Newbury, MA",4,1570.0,10,01922
"Newburyport, MA",3,1592.9,14,01950
"Newburyport, MA",4,1488.23,5,01950
"Newburyport, MA",5,1622.33,3,01950
"Newton, MA",4,1561.82,3,02460
"Newton, MA",5,1583.08,5,02466
"Norfolk, MA",3,1471.88,31,02056
"Norfolk, MA",4,1421.83,55,02056
"North Adams, MA",3,708.68,7,01247
"North Andover, MA",3,1362.85,57,01845
"North Andover, MA",4,1482.1,70,01845
"North Andover, MA",5,1475.15,14,01845
"North Attleboro, MA",3,1308.33,71,02760
"North Attleboro, MA",4,1230.65,64,02760
"North Attleboro, MA",5,1013.96,12,02760
"North Brookfield, MA",3,981.25,23,01535
"North Brookfield, MA",4,910.11,4,01535
"North Reading, MA",3,1526.39,26,01864
"North Reading, MA",4,1427.72,22,01864
"North Reading, MA",5,1049.94,4,01864
"Northampton, MA",3,986.7,61,01062
"Northampton, MA",4,1267.45,27,01062
"Northampton, MA",5,1007.42,6,01053
"Northborough, MA",3,1295.47,45,01532
"Northborough, MA",4,1332.86,55,01532
"Northborough, MA",5,1079.38,5,01532
"Northbridge, MA",3,1097.91,44,01534
"Northbridge, MA",4,1144.79,43,01534
"Northbridge, MA",5,974.71,5,01534
"Northbridge, MA",6,697.78,3,01534
"Northfield, MA",3,872.22,13,01360
"Northfield, MA",4,654.0,5,01360
"Norton, MA",3,1308.33,71,02766
"Norton, MA",4,1267.37,36,02766
"Norwell, MA",3,1684.48,18,02061
"Norwell, MA",4,1414.64,9,02061
"Norwell, MA",5,1717.19,4,02061
"Norwood, MA",3,1526.39,71,02062
"Norwood, MA",4,1355.76,32,02062
"Norwood, MA",5,1358.05,6,02062
"Oakham, MA",3,928.92,4,01068
"Orange, MA",3,790.23,39,01364
"Orange, MA",4,707.32,6,01364
"Orleans, MA",3,1597.15,8,02653
"Orleans, MA",4,1533.2,3,02653
